country,country_code,region,former_male,former_female,current_male,current_female
Afghanistan,AFG,South Asia,6.8,5.6,4.7,3.5
Albania,ALB,Europe & Central Asia,18.3,20.4,56.8,48.1
Algeria,DZA,Middle East & North Africa,2.8,3,3.5,1.2
Andorra,AND,Europe & Central Asia,14.5,14.5,79.4,79.1
Angola,AGO,Sub-Saharan Africa,14.6,10.9,36.6,23.4
Antigua and Barbuda,ATG,Latin America & Caribbean,18.3,20.3,60.6,43.2
Argentina,ARG,Latin America & Caribbean,17.6,19.2,57.1,38.4
Armenia,ARM,Europe & Central Asia,14.5,20.1,78.5,54.4
Australia,AUS,East Asia & Pacific,16.7,20.1,65.7,54.3
Austria,AUT,Europe & Central Asia,16.7,16.7,66.2,65.9
Azerbaijan,AZE,Europe & Central Asia,4.2,4.6,95.7,94.9
Bahamas,BHS,Latin America & Caribbean,18.3,19.2,57.5,39.4
Bahrain,BHR,Middle East & North Africa,7.9,6.8,8.6,3.9
Bangladesh,BGD,South Asia,2.1,2.1,2.5,1
Barbados,BRB,Latin America & Caribbean,16.7,20.1,67.5,51.3
Belarus,BLR,Europe & Central Asia,4.2,4.6,92.7,92
Belgium,BEL,Europe & Central Asia,14.5,14.5,79.6,79.2
Belize,BLZ,Latin America & Caribbean,14,6.8,27.8,5.8
Benin,BEN,Sub-Saharan Africa,17.6,20.4,53.4,48.9
Bhutan,BTN,South Asia,14.4,12.5,41.6,26.8
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,17.6,19.2,55.9,37.9
Bosnia and Herzegovina,BIH,Europe & Central Asia,14.5,14.5,79.5,76.2
Botswana,BWA,Sub-Saharan Africa,14.4,14,44.1,27.6
Brazil,BRA,Latin America & Caribbean,17.6,19.2,56.5,37.6
Brunei Darussalam,BRN,East Asia & Pacific,14,14,30.3,29
Bulgaria,BGR,Europe & Central Asia,14.5,15.8,76.1,71.5
Burkina Faso,BFA,Sub-Saharan Africa,14.6,12.5,38.1,23.9
Burundi,BDI,Sub-Saharan Africa,14.6,10.9,37.3,23.9
CÍ‰te d'Ivoire,CIV,Sub-Saharan Africa,14.4,10.9,42.3,22.6
Cabo Verde,CPV,Sub-Saharan Africa,14.4,14,41.8,26.1
Cambodia,KHM,East Asia & Pacific,14.4,12.5,42.2,27.5
Cameroon,CMR,Sub-Saharan Africa,14.6,12.5,39.8,25.1
Canada,CAN,North America,16.7,19,64.6,59.4
Central African Republic,CAF,Sub-Saharan Africa,14.6,12.5,39,25.4
Chad,TCD,Sub-Saharan Africa,14.4,14,40.8,28.8
Chile,CHL,Latin America & Caribbean,18.3,20.3,60.1,42.5
China,CHN,East Asia & Pacific,14.4,12.5,42.4,26.3
Colombia,COL,Latin America & Caribbean,17.6,17.2,54.2,37.4
Comoros,COM,Sub-Saharan Africa,4.8,3,4.4,2
Congo,COG,Sub-Saharan Africa,14.4,14,43.6,28.3
Cook Islands,COK,Latin America & Caribbean,14.4,12.5,42.8,25.8
Costa Rica,CRI,Latin America & Caribbean,17.6,19.2,55.9,37.5
Croatia,HRV,Europe & Central Asia,15.8,16.7,71.1,65.3
Cuba,CUB,Latin America & Caribbean,16.7,20.1,67.1,51.4
Cyprus,CYP,Europe & Central Asia,4.2,14.5,90.8,78.1
Czechia,CZE,Europe & Central Asia,15.8,16.7,69.9,65.6
Democratic People's Republic of Korea,PRK,East Asia & Pacific,14.6,10.9,32.5,21.3
Democratic Republic of the Congo,ZAR,Sub-Saharan Africa,14.6,12.5,38.2,24.4
Denmark,DNK,Europe & Central Asia,15.8,16.7,74.1,65.8
Djibouti,DJI,Middle East & North Africa,8.7,6.8,11.9,8.1
Dominica,DMA,Latin America & Caribbean,17.6,19.2,57.2,38.5
